1644516033203	PolyGesture	ExperimentStarted	Raffaele
1644516042307	PolyGesture	InputEvent	SelectionChanged 0 0

1644516042308	PolyGesture	InputEvent	TextChanged '' 0 0 0

1644516042314	PolyGesture	InputEvent	SelectionChanged 0 0

1644516042315	PolyGesture	InputEvent	SelectionChanged 0 0

1644516042315	PolyGesture	TaskStarted	Cancella frase

1644516042316	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat.
As he XXXXX XXXXX strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray.
He remembered XXXX XXXXXXXX how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now.
Half the XXX XXX XXXXX charm of the little village where he had been so often lately was that no one knew who he was.' 0 553 553

1644516042320	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat.
As he XXXXX XXXXX strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray.
He remembered XXXX XXXXXXXX how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now.
Half the XXX XXX XXXXX charm of the little village where he had been so often lately was that no one knew who he was.' 0 0 553

1644516042325	PolyGesture	InputEvent	SelectionChanged 553 553

1644516042341	PolyGesture	InputEvent	FocusChanged true 130 null

1644516042365	PolyGesture	InputEvent	WindowFocusChanged true

1644516042376	PolyGesture	InputEvent	BeginBatchEdit

1644516042377	PolyGesture	InputEvent	BeginBatchEdit

1644516042605	PolyGesture	InputEvent	TouchEvent (cursorPosition=553): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=629.0, y[0]=145.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=90236730, downTime=90236730, deviceId=6, source=0x1002, displayId=0 }
