1643970999411	PolyGesture	ExperimentStarted	Francesca
1643971006928	PolyGesture	InputEvent	SelectionChanged 0 0

1643971006929	PolyGesture	InputEvent	TextChanged '' 0 0 0

1643971007054	PolyGesture	InputEvent	SelectionChanged 0 0

1643971007055	PolyGesture	InputEvent	SelectionChanged 0 0

1643971007055	PolyGesture	TaskStarted	Cancella carattere

1643971007055	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 517 517

1643971007058	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 0 517

1643971007060	PolyGesture	InputEvent	SelectionChanged 517 517

1643971007075	PolyGesture	InputEvent	FocusChanged true 130 null

1643971007098	PolyGesture	InputEvent	WindowFocusChanged true

1643971012004	PolyGesture	InputEvent	TouchEvent (cursorPosition=517): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=355.0, y[0]=189.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=82215776, downTime=82215776, deviceId=6, source=0x1002, displayId=0 }
1643971012049	PolyGesture	InputEvent	TouchEvent (cursorPosition=517): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=355.0, y[0]=189.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=82215829, downTime=82215776, deviceId=6, source=0x1002, displayId=0 }
1643971012057	PolyGesture	InputEvent	SelectionChanged 82 82

1643971012080	PolyGesture	InputEvent	BeginBatchEdit

1643971012091	PolyGesture	InputEvent	BeginBatchEdit

1643971012091	PolyGesture	InputEvent	BeginBatchEdit

1643971012099	PolyGesture	InputEvent	BeginBatchEdit

1643971012307	PolyGesture	InputEvent	BeginBatchEdit

1643971012308	PolyGesture	InputEvent	BeginBatchEdit

1643971012335	PolyGesture	InputEvent	BeginBatchEdit

1643971013784	PolyGesture	InputEvent	BeginBatchEdit

1643971013809	PolyGesture	InputEvent	SelectionChanged 0 0

1643971013811	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 516 516

1643971013817	PolyGesture	InputEvent	SelectionChanged 81 81

1643971013818	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 81 1 0

1643971013824	PolyGesture	InputEvent	SelectionChanged 81 81

1643971013837	PolyGesture	InputEvent	BeginBatchEdit

1643971013841	PolyGesture	InputEvent	BeginBatchEdit

1643971013841	PolyGesture	InputEvent	BeginBatchEdit

1643971013864	PolyGesture	InputEvent	BeginBatchEdit

1643971013864	PolyGesture	InputEvent	BeginBatchEdit

1643971013866	PolyGesture	InputEvent	BeginBatchEdit

1643971013867	PolyGesture	InputEvent	BeginBatchEdit

1643971013868	PolyGesture	InputEvent	BeginBatchEdit

1643971013870	PolyGesture	InputEvent	BeginBatchEdit

1643971013871	PolyGesture	InputEvent	BeginBatchEdit

1643971013871	PolyGesture	InputEvent	BeginBatchEdit

1643971013901	PolyGesture	InputEvent	BeginBatchEdit

1643971014074	PolyGesture	InputEvent	BeginBatchEdit

1643971014075	PolyGesture	InputEvent	BeginBatchEdit

1643971014559	PolyGesture	InputEvent	TouchEvent (cursorPosition=81): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=816.0, y[0]=279.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=82218331, downTime=82218331, deviceId=6, source=0x1002, displayId=0 }
1643971014592	PolyGesture	InputEvent	TouchEvent (cursorPosition=81): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=816.0, y[0]=279.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=82218371, downTime=82218331, deviceId=6, source=0x1002, displayId=0 }
1643971014598	PolyGesture	InputEvent	SelectionChanged 132 132

1643971014619	PolyGesture	InputEvent	BeginBatchEdit

1643971014638	PolyGesture	InputEvent	BeginBatchEdit

1643971014846	PolyGesture	InputEvent	BeginBatchEdit

1643971014847	PolyGesture	InputEvent	BeginBatchEdit

1643971014880	PolyGesture	InputEvent	BeginBatchEdit

1643971015975	PolyGesture	InputEvent	BeginBatchEdit

1643971015993	PolyGesture	InputEvent	SelectionChanged 0 0

1643971015995	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 515 515

1643971015999	PolyGesture	InputEvent	SelectionChanged 131 131

1643971016000	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 131 1 0

1643971016004	PolyGesture	InputEvent	SelectionChanged 131 131

1643971016016	PolyGesture	InputEvent	BeginBatchEdit

1643971016020	PolyGesture	InputEvent	BeginBatchEdit

1643971016021	PolyGesture	InputEvent	BeginBatchEdit

1643971016022	PolyGesture	InputEvent	BeginBatchEdit

1643971016047	PolyGesture	InputEvent	BeginBatchEdit

1643971016054	PolyGesture	InputEvent	BeginBatchEdit

1643971016054	PolyGesture	InputEvent	BeginBatchEdit

1643971016056	PolyGesture	InputEvent	BeginBatchEdit

1643971016057	PolyGesture	InputEvent	BeginBatchEdit

1643971016059	PolyGesture	InputEvent	BeginBatchEdit

1643971016060	PolyGesture	InputEvent	BeginBatchEdit

1643971016061	PolyGesture	InputEvent	BeginBatchEdit

1643971016262	PolyGesture	InputEvent	BeginBatchEdit

1643971016264	PolyGesture	InputEvent	BeginBatchEdit

1643971017324	PolyGesture	InputEvent	TouchEvent (cursorPosition=131): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=467.0, y[0]=696.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=82221088, downTime=82221088, deviceId=6, source=0x1002, displayId=0 }
1643971017363	PolyGesture	InputEvent	TouchEvent (cursorPosition=131): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=467.0, y[0]=696.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x100000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=82221143, downTime=82221088, deviceId=6, source=0x1002, displayId=0 }
1643971017375	PolyGesture	InputEvent	SelectionChanged 312 312

1643971017405	PolyGesture	InputEvent	BeginBatchEdit

1643971017435	PolyGesture	InputEvent	BeginBatchEdit

1643971017630	PolyGesture	InputEvent	BeginBatchEdit

1643971017632	PolyGesture	InputEvent	BeginBatchEdit

1643971017663	PolyGesture	InputEvent	BeginBatchEdit

1643971018364	PolyGesture	InputEvent	BeginBatchEdit

1643971018385	PolyGesture	InputEvent	SelectionChanged 0 0

