1644515278929	PolyGesture	ExperimentStarted	Asia
1644515279949	PolyGesture	InputEvent	SelectionChanged 0 0

1644515279950	PolyGesture	InputEvent	TextChanged '' 0 0 0

1644515279955	PolyGesture	InputEvent	SelectionChanged 0 0

1644515279956	PolyGesture	InputEvent	SelectionChanged 0 0

1644515279956	PolyGesture	TaskStarted	Cancella carattere

1644515279957	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 517 517

1644515279961	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 0 517

1644515279964	PolyGesture	InputEvent	SelectionChanged 517 517

1644515279977	PolyGesture	InputEvent	FocusChanged true 130 null

1644515280000	PolyGesture	InputEvent	WindowFocusChanged true

1644515280010	PolyGesture	InputEvent	BeginBatchEdit

1644515280011	PolyGesture	InputEvent	BeginBatchEdit

1644515281461	PolyGesture	InputEvent	TouchEvent (cursorPosition=517): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=433.0, y[0]=163.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=89475584, downTime=89475584, deviceId=6, source=0x1002, displayId=0 }
1644515281543	PolyGesture	InputEvent	TouchEvent (cursorPosition=517): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=433.0, y[0]=163.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=89475675, downTime=89475584, deviceId=6, source=0x1002, displayId=0 }
1644515281556	PolyGesture	InputEvent	SelectionChanged 138 138

1644515281560	PolyGesture	InputEvent	BeginBatchEdit

1644515281575	PolyGesture	InputEvent	BeginBatchEdit

1644515281578	PolyGesture	InputEvent	BeginBatchEdit

1644515281580	PolyGesture	InputEvent	BeginBatchEdit

1644515281587	PolyGesture	InputEvent	BeginBatchEdit

1644515281589	PolyGesture	InputEvent	BeginBatchEdit

1644515281792	PolyGesture	InputEvent	BeginBatchEdit

1644515281794	PolyGesture	InputEvent	BeginBatchEdit

1644515281819	PolyGesture	InputEvent	BeginBatchEdit

1644515282286	PolyGesture	InputEvent	TouchEvent (cursorPosition=138): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=446.0, y[0]=149.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=89476409, downTime=89476409, deviceId=6, source=0x1002, displayId=0 }
1644515282359	PolyGesture	InputEvent	TouchEvent (cursorPosition=138): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=446.0, y[0]=149.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=89476490, downTime=89476409, deviceId=6, source=0x1002, displayId=0 }
1644515282371	PolyGesture	InputEvent	SelectionChanged 82 82

1644515282391	PolyGesture	InputEvent	BeginBatchEdit

1644515282417	PolyGesture	InputEvent	BeginBatchEdit

1644515282618	PolyGesture	InputEvent	BeginBatchEdit

1644515282620	PolyGesture	InputEvent	BeginBatchEdit

1644515282640	PolyGesture	InputEvent	BeginBatchEdit

1644515283427	PolyGesture	InputEvent	BeginBatchEdit

1644515283448	PolyGesture	InputEvent	SelectionChanged 0 0

1644515283452	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 516 516

1644515283459	PolyGesture	InputEvent	SelectionChanged 81 81

1644515283461	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 81 1 0

1644515283467	PolyGesture	InputEvent	SelectionChanged 81 81

1644515283479	PolyGesture	InputEvent	BeginBatchEdit

1644515283481	PolyGesture	InputEvent	BeginBatchEdit

1644515283481	PolyGesture	InputEvent	BeginBatchEdit

1644515283482	PolyGesture	InputEvent	BeginBatchEdit

1644515283495	PolyGesture	InputEvent	BeginBatchEdit

1644515283495	PolyGesture	InputEvent	BeginBatchEdit

1644515283496	PolyGesture	InputEvent	BeginBatchEdit

1644515283496	PolyGesture	InputEvent	BeginBatchEdit

1644515283508	PolyGesture	InputEvent	BeginBatchEdit

1644515283509	PolyGesture	InputEvent	BeginBatchEdit

1644515283509	PolyGesture	InputEvent	BeginBatchEdit

1644515283512	PolyGesture	InputEvent	BeginBatchEdit

1644515283712	PolyGesture	InputEvent	BeginBatchEdit

1644515283713	PolyGesture	InputEvent	BeginBatchEdit

1644515284269	PolyGesture	InputEvent	TouchEvent (cursorPosition=81): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=376.0, y[0]=172.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=89478393, downTime=89478393, deviceId=6, source=0x1002, displayId=0 }
1644515284337	PolyGesture	InputEvent	TouchEvent (cursorPosition=81): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=376.0, y[0]=172.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=89478468, downTime=89478393, deviceId=6, source=0x1002, displayId=0 }
1644515284348	PolyGesture	InputEvent	SelectionChanged 133 133

1644515284381	PolyGesture	InputEvent	BeginBatchEdit

1644515284411	PolyGesture	InputEvent	BeginBatchEdit

1644515284613	PolyGesture	InputEvent	BeginBatchEdit

1644515284615	PolyGesture	InputEvent	BeginBatchEdit

1644515284636	PolyGesture	InputEvent	BeginBatchEdit

1644515285238	PolyGesture	InputEvent	SelectionChanged 132 132

1644515285262	PolyGesture	InputEvent	BeginBatchEdit

1644515285272	PolyGesture	InputEvent	BeginBatchEdit

1644515285473	PolyGesture	InputEvent	BeginBatchEdit

1644515285475	PolyGesture	InputEvent	BeginBatchEdit

1644515286287	PolyGesture	InputEvent	BeginBatchEdit

1644515286316	PolyGesture	InputEvent	SelectionChanged 0 0

1644515286319	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 515 515

1644515286325	PolyGesture	InputEvent	SelectionChanged 131 131

1644515286326	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 131 1 0

1644515286333	PolyGesture	InputEvent	SelectionChanged 131 131

1644515286344	PolyGesture	InputEvent	BeginBatchEdit

