1644484706598	PolyGesture	ExperimentStarted	Grazia
1644484707575	PolyGesture	InputEvent	SelectionChanged 0 0

1644484707576	PolyGesture	InputEvent	TextChanged '' 0 0 0

1644484707708	PolyGesture	InputEvent	SelectionChanged 0 0

1644484707710	PolyGesture	InputEvent	SelectionChanged 0 0

1644484707711	PolyGesture	TaskStarted	Cancella carattere

1644484707712	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 517 517

1644484707716	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 0 517

1644484707720	PolyGesture	InputEvent	SelectionChanged 517 517

1644484707745	PolyGesture	InputEvent	FocusChanged true 130 null

1644484707775	PolyGesture	InputEvent	WindowFocusChanged true

1644484709467	PolyGesture	InputEvent	TouchEvent (cursorPosition=517): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=697.0, y[0]=68.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=60397655, downTime=60397655, deviceId=6, source=0x1002, displayId=0 }
1644484709547	PolyGesture	InputEvent	TouchEvent (cursorPosition=517): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=697.0, y[0]=68.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=60397745, downTime=60397655, deviceId=6, source=0x1002, displayId=0 }
1644484709565	PolyGesture	InputEvent	SelectionChanged 81 81

1644484709577	PolyGesture	InputEvent	BeginBatchEdit

1644484709595	PolyGesture	InputEvent	BeginBatchEdit

1644484709598	PolyGesture	InputEvent	BeginBatchEdit

1644484709608	PolyGesture	InputEvent	BeginBatchEdit

1644484709810	PolyGesture	InputEvent	BeginBatchEdit

1644484709812	PolyGesture	InputEvent	BeginBatchEdit

1644484709827	PolyGesture	InputEvent	BeginBatchEdit

1644484710806	PolyGesture	InputEvent	SelectionChanged 82 82

1644484710832	PolyGesture	InputEvent	BeginBatchEdit

1644484710857	PolyGesture	InputEvent	BeginBatchEdit

1644484711063	PolyGesture	InputEvent	BeginBatchEdit

1644484711064	PolyGesture	InputEvent	BeginBatchEdit

1644484711267	PolyGesture	InputEvent	BeginBatchEdit

1644484711291	PolyGesture	InputEvent	SelectionChanged 0 0

1644484711294	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 516 516

1644484711298	PolyGesture	InputEvent	SelectionChanged 81 81

