1647340305115	PolyGesture	ExperimentStarted	Silvia
1647340308946	PolyGesture	InputEvent	SelectionChanged 0 0

1647340308947	PolyGesture	InputEvent	TextChanged '' 0 0 0

1647340309078	PolyGesture	InputEvent	SelectionChanged 0 0

1647340309078	PolyGesture	InputEvent	SelectionChanged 0 0

1647340309079	PolyGesture	TaskStarted	Cancella carattere

1647340309079	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 517 517

1647340309082	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not evXen put his silk scarf round his throat. As he stroXlled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That is Dorian Gray. He remembered how pleased he used to beX when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the litXtle village where he had been so often lately was that no one knew who he was.' 0 0 517

1647340309085	PolyGesture	InputEvent	SelectionChanged 517 517

1647340309104	PolyGesture	InputEvent	FocusChanged true 130 null

1647340309126	PolyGesture	InputEvent	WindowFocusChanged true

1647340311125	PolyGesture	InputEvent	TouchEvent (cursorPosition=517): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=438.0, y[0]=65.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=422300315, downTime=422300315, deviceId=6, source=0x1002, displayId=0 }
